UUID;IdCustomer;DtTransaction;Points
fb4e3102-6125-414e-b086-e7f641e38f93;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
036b8d66-8adf-479b-ba0f-cb0e3207acb0;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
10166182-a164-4608-8cdf-35e4450b2bd7;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;500
03974c58-e86e-4b6b-8143-8f89ca870d09;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
e84703a6-b606-4096-a2f3-514971c16c5c;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;500
5ada03e9-672f-4386-a27d-3827b62c8c92;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;500
f291f238-b09d-4151-8bde-0f66b0cbba3c;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
6501ca90-371f-43cb-8c57-463f6c4e564e;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
876473f8-7b23-4de4-9aeb-857067875c45;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
c4124d67-6366-4373-b8a0-1590ebf775fa;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
9be06d42-36e4-42ba-b320-142e042873ef;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
f7625520-4e03-44a1-8b3a-4cb904ebb170;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;500
0d6cd269-38d3-4bb6-9b39-e724b2299d9b;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;500
a8505730-a764-4ae5-93f4-12d5fa527f22;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
64e817a4-ea3f-4741-8c95-28e8d2ffdca7;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;27/01/2024;1
ac18e5fd-eb6e-4d83-9bf1-bd8973fcd1b4;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
f5f48f35-94bd-4df8-ac57-7566ce2f09a1;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
270948e3-a015-4255-be6a-36010d26b74d;c4f241f8-2140-4f72-b1a3-904fcc51e38c;29/01/2024;1
78ba1dcf-9bed-4e0d-abd3-58ff60d4b47d;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
6a736d67-ed53-446a-b558-d9e6b671f0b9;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
377a8b0b-1a89-4d6f-a492-4056f610dedf;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
84e494af-936c-4189-8d90-1b8d0188e03b;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
da19a8fa-fb70-4855-ab10-f98d5288e6c4;2d3d2dce-d353-4961-ad39-46723efe2100;29/01/2024;1
060cc463-a074-4c65-867c-bb88606a6123;65662aff-44d6-4f06-b9d9-07445c6e5943;29/01/2024;1
505b94d7-9bcb-48f1-803d-337245f02c45;03d75a45-0b36-4fd7-a84e-7b36912f1998;29/01/2024;1
079b243a-3e45-489f-8b0f-a44e4fb8f8e3;03d75a45-0b36-4fd7-a84e-7b36912f1998;29/01/2024;1
fea5f6ae-2de4-4511-86c8-306841ef0524;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;29/01/2024;1
68950db2-0484-41c1-a1a7-465a8886814b;5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;29/01/2024;1
